CMDLINE /Library/Frameworks/Python.framework/Versions/3.12/bin/python3.12 chapter2.py
MEM 116.406250 1729507211.2108
MEM 116.437500 1729507211.3158
MEM 116.437500 1729507211.4208
MEM 116.453125 1729507211.5224
MEM 116.453125 1729507211.6275
MEM 116.453125 1729507211.7325
MEM 116.500000 1729507211.8376
MEM 116.500000 1729507211.9426
MEM 116.500000 1729507212.0477
MEM 116.515625 1729507212.1527
MEM 116.546875 1729507212.2578
MEM 116.546875 1729507212.3629
MEM 116.562500 1729507212.4680
MEM 116.562500 1729507212.5725
MEM 116.562500 1729507212.6775
MEM 116.609375 1729507212.7827
MEM 116.609375 1729507212.8878
MEM 116.609375 1729507212.9904
MEM 116.625000 1729507213.0955
MEM 116.656250 1729507213.2005
MEM 116.656250 1729507213.3057
MEM 116.671875 1729507213.4107
MEM 116.671875 1729507213.5158
MEM 116.671875 1729507213.6209
MEM 116.703125 1729507213.7259
MEM 116.718750 1729507213.8310
MEM 116.718750 1729507213.9360
MEM 116.718750 1729507214.0410
MEM 116.734375 1729507214.1460
MEM 116.765625 1729507214.2511
MEM 116.765625 1729507214.3561
MEM 116.781250 1729507214.4611
MEM 116.781250 1729507214.5662
MEM 116.812500 1729507214.6713
MEM 116.828125 1729507214.7765
MEM 116.828125 1729507214.8816
MEM 116.828125 1729507214.9868
MEM 116.843750 1729507215.0919
MEM 116.875000 1729507215.1969
MEM 116.875000 1729507215.3021
MEM 116.890625 1729507215.4072
MEM 116.890625 1729507215.5123
MEM 116.890625 1729507215.6173
MEM 116.937500 1729507215.7223
MEM 116.937500 1729507215.8274
MEM 116.937500 1729507215.9324
MEM 116.953125 1729507216.0374
MEM 116.984375 1729507216.1390
